0,"""Supra Crystals"" Made of Nanocrystals",A. Courty;C. Fermon;M. Pileni,Advanced Materials,Quantum‐dot superlattices provide a new horizon in fundamental physics. The fabrication and characterization of well‐defined 3D superlattices made of silver nanocrystals is described in this communication. “Supra crystals” of relatively large sizes could be obtained with very high reproducibility. The picture shows an SEM image at a 45° tilt of the silver nanocrystal aggregates on an HOPG substrate.
1,"""Supracrystals"" Made of Nanocrystals. 2. Growth on HOPG Substrate",A. Courty;O. Araspin;C. Fermon;M. Pileni,Langmuir,"Silver nanoparticles in 3D superlattices with heights and widths of several tens and hundreds of micrometers, respectively, have been fabricated, and the experimental parameters controlling their size and shape have been clearly identified. These parameters are the substrate temperature during the solvent evaporation, the initial concentration of the colloidal solution, and the deposition procedures. Scanning electron microscopy and small-angle X-ray diffraction are used to characterize the supracrystal phases."
2,A Bayesian Model for the Prediction and Early Diagnosis of Alzheimer's Disease,A. Alexiou;V. Mantzavinos;N. Greig;M. Kamal,Frontiers in Aging Neuroscience,"Alzheimer's disease treatment is still an open problem. The diversity of symptoms, the alterations in common pathophysiology, the existence of asymptomatic cases, the different types of sporadic and familial Alzheimer's and their relevance with other types of dementia and comorbidities, have already created a myth-fear against the leading disease of the twenty first century. Many failed latest clinical trials and novel medications have revealed the early diagnosis as the most critical treatment solution, even though scientists tested the amyloid hypothesis and few related drugs. Unfortunately, latest studies have indicated that the disease begins at the very young ages thus making it difficult to determine the right time of proper treatment. By taking into consideration all these multivariate aspects and unreliable factors against an appropriate treatment, we focused our research on a non-classic statistical evaluation of the most known and accepted Alzheimer's biomarkers. Therefore, in this paper, the code and few experimental results of a computational Bayesian tool have being reported, dedicated to the correlation and assessment of several Alzheimer's biomarkers to export a probabilistic medical prognostic process. This new statistical software is executable in the Bayesian software Winbugs, based on the latest Alzheimer's classification and the formulation of the known relative probabilities of the various biomarkers, correlated with Alzheimer's progression, through a set of discrete distributions. A user-friendly web page has been implemented for the supporting of medical doctors and researchers, to upload Alzheimer's tests and receive statistics on the occurrence of Alzheimer's disease development or presence, due to abnormal testing in one or more biomarkers."
3,A Randomized Trial Comparing Renal Function in Older Kidney Transplant Patients Following Delayed Versus Immediate Tacrolimus Administration,A. Andrés;K. Budde;P. Clavien;T. Becker;M. Kessler;P. Pisarski;P. Fornara;D. Burmeister;R. Hené;E. Cassuto-Viguier,Transplantation,"Background.: This large, randomized, multicenter trial evaluated if basiliximab induction and delayed tacrolimus can preserve renal function in older kidney transplant patients. Methods.: Patients aged 60 years and older received delayed tacrolimus with basiliximab and mycophenolate mofetil with early steroid discontinuation (Tac-d, n=132) or standard tacrolimus with mycophenolate mofetil and steroids until day 91 (Tac-s, n=122). Tacrolimus trough levels were 5 to 10 ng/mL after day 43 in both groups. Renal function at month 6 was measured by calculated creatinine clearance (Cockcroft-Gault formula). Results.: In both groups, mean recipient age was 66 years, mean donor age was 63 years with 73% of donors aged 60 years and older. Steroid discontinuation was slower than protocol specified. In the Tac-d group, 56.1% were steroid free at day 14 and 81.8% at month 6. In the Tac-s group, 37.7% were steroid free at month 4 and 63.9% at month 6. Mean (±SD) calculated creatinine clearance was 45.7±16.1 mL/min (Tac-d) and 45.0±18.2 mL/min (Tac-s) ( P =ns), mean glomerular filtration rate (modified diet in renal disease formula) was 44.9±16.2 mL/min and 41.6±16.8 mL/min, respectively. Incidences of biopsy-proven acute rejection were 18.9% (Tac-d) and 18.0% (Tac-s). Delayed graft function was 30.3% (Tac-d) and 23.8% (Tac-s). Estimated patient survival rates (Kaplan-Meier) in the Tac-d and Tac-s groups were 96.1% vs. 99.2% and estimated graft survival rates were 90% vs. 87.6%, respectively. Safety results were similar with both regimens. Conclusion.: Delayed tacrolimus with basiliximab induction did not provide an advantage in preserving renal function or reducing delayed graft function in older kidney transplant patients."
4,A SON-Based Algorithm for the Optimization of Inter-RAT Handover Parameters,A. Awada;B. Wegmann;I. Viering;A. Klein,IEEE Transactions on Vehicular Technology,"First, the deployment of the Long-Term Evolution (LTE) system will be concentrated on areas with high user traffic overlaying with the legacy second-generation (2G) or third-generation (3G) mobile system. Consequently, the limited LTE coverage will result in many inter-radio access technology (RAT) handovers from LTE to 3G systems and vice versa. Trouble-free operation of inter-RAT handovers requires the optimization of the handover parameters of each cell in both RATs. The current network planning and optimization methods provide a fixed network-wide setting for all the handover parameters of the cells. Cells that later show considerable mobility problems in operation mode are manually optimized with the aid of drive tests and expert knowledge. This manual optimization of the handover parameters requires permanent human intervention and increases the operational expenditure (OPEX) of the mobile operators. Moreover, the interoperability of several RATs increases further the parameter space of the handover parameters, which makes the manual optimization difficult and almost impracticable. To reduce OPEX and to achieve a better network performance, we propose in this paper a self-optimizing algorithm where each cell in a RAT updates its handover parameters in an autonomous and automated manner depending on its traffic and mobility conditions. The proposed algorithm uses a feedback controller to update the handover parameters as a means to providing a steady improvement in the network performance. In the context of control theory, the feedback controller consists of a proportional control block, which regulates the change in the magnitude of each handover parameter, and a gain scheduler, which modifies the parameters of the proportional control block depending on the mobility conditions in each cell. To benchmark the design of the proposed algorithm, we apply two general and nonself-optimization algorithms: Taguchi's method and simulated annealing to optimize the handover parameters. Simulation results show that the proposed self-optimizing algorithm reaches a stable optimized operation point with cell-specific handover parameter settings, which considerably reduce the number of mobility failure events in the network, compared with three fixed settings for the handover parameters. Moreover, it is presented that the proposed self-optimizing algorithm outperforms Taguchi's method and simulated annealing when applied to a mobility robustness optimization (MRO) problem."
5,A comparative study of particle swarm optimization and its variants for phase stability and equilibrium calculations in multicomponent reactive and non-reactive systems,A. Bonilla-Petriciolet;J. Segovia-Hernández,Fluid Phase Equilibria,"Particle swarm optimization is a novel evolutionary stochastic global optimization method that has gained popularity in the chemical engineering community. This optimization strategy has been successfully used for several applications including thermodynamic calculations. To the best of our knowledge, the performance of PSO in phase stability and equilibrium calculations for both multicomponent reactive and non-reactive mixtures has not yet been reported. This study introduces the application of particle swarm optimization and several of its variants for solving phase stability and equilibrium problems in multicomponent systems with or without chemical equilibrium. The reliability and efficiency of a number of particle swarm optimization algorithms are tested and compared using multicomponent systems with vapor–liquid and liquid–liquid equilibrium. Our results indicate that the classical particle swarm optimization with constant cognitive and social parameters is a reliable method and offers the best performance for global minimization of the tangent plane distance function and the Gibbs energy function in both reactive and non-reactive systems.Particle swarm optimization is a novel evolutionary stochastic global optimization method that has gained popularity in the chemical engineering community. This optimization strategy has been successfully used for several applications including thermodynamic calculations. To the best of our knowledge, the performance of PSO in phase stability and equilibrium calculations for both multicomponent reactive and non-reactive mixtures has not yet been reported. This study introduces the application of particle swarm optimization and several of its variants for solving phase stability and equilibrium problems in multicomponent systems with or without chemical equilibrium. The reliability and efficiency of a number of particle swarm optimization algorithms are tested and compared using multicomponent systems with vapor–liquid and liquid–liquid equilibrium. Our results indicate that the classical particle swarm optimization with constant cognitive and social parameters is a reliable method and offers the best performance for global minimization of the tangent plane distance function and the Gibbs energy function in both reactive and non-reactive systems."
6,A comparison between different methods for determining grain distribution in coarse channel beds,A. Cislaghi;E. Chiaradia;G. Bischetti,International Journal of Sediment Research,"The determination of grain size distribution in alluvial channels plays a crucial role in understanding fluvial dynamics and processes (e.g., hydraulic resistance, sediment transport and erosion, and habitat suitability). However, to determine an accurate distribution, tremendous field efforts are often required. Traditionally, the grain size distribution of channel beds have been obtained by manually counting a set of randomly selected stones (the “pebble count”). Based on this elementary principle, many authors have proposed different adaptations to overcome weaknesses and problems with the original method; with the development of digital technology, photographic methods have been developed in order to significantly reduce the time spent in the field. Two of these “image-assisted” methods include Automated Grain Sizing, AGS, and Manual Photo Sieving, MPS. In this study, AGS and MPS were applied under ideal laboratory conditions, to be used as reference, and in two field conditions with different degrees of difficulty in terms of visual determination of the grain size distribution; these included an artificial unlined channel and two natural mountainous streams. The results were compared with those obtained with the pebble-count method. In general, strong agreement between the methods was found when they were applied under favorable conditions (”the laboratory”), and the differences between the image-assisted and pebble count methods were similar to those found in previous studies. Despite being more time consuming, MPS was deemed preferable to AGS when conditions are not optimal; in these cases, the time spent on image elaboration significantly increased in the AGS method (approximately three-fold), but the estimation error of the median grain size decreased by approximately 37%. The use of image-assisted analysis has proven to be robust for characterizing sediment in watercourse beds and reducing fieldwork time, but because field conditions can significantly affect the accuracy of results, the method choice must be carefully considered."
7,A five-year longitudinal study of the validity of creativity tests.,A. Cropley,Developmental Psychology,"Administered the Seeing Problems, Consequences, Symbol Production, Hidden Figures, and E. Torrance's Tin Can Uses and Circles tests to 7th graders in June 1964. In April 1969 111 Ss were relocated. Data concerning their out of school achievement in art, drama, literature, and music were collected. When the 6 creativity tests were combined to form a single composite creativity predictor, and correlated with the 4 achievements tests, combined to form a single criterion of creative behavior in nonacademic life, the resulting canonical correlations were .52 for boys, .46 for girls, and .51 for the full sample. Results indicate that creativity tests can be said to possess reasonable and encouraging long-range predictive validity. (19 ref.)"
8,A framework for dynamic classifier selection oriented by the classification problem difficulty,A. Brun;A. Britto;L. Oliveira;F. Enembreck;R. Sabourin,Pattern Recognition,"This paper describes a framework for Dynamic Classifier Selection (DCS) whose novelty resides in its use of features that address the difficulty posed by the classification problem in terms of orienting both pool generation and classifier selection. The classification difficulty is described by meta-features estimated from problem data using complexity measures. Firstly, these features are used to drive the classifier pool generation expecting a better coverage of the problem space, and then, a dynamic classifier selection based on similar features estimates the ability of the classifiers to deal with the test instance. The rationale here is to dynamically select a classifier trained on a subproblem (training subset) having a similar level of difficulty as that observed in the neighborhood of the test instance defined in a validation set. A robust experimental protocol based on 30 datasets, and considering 20 replications, has confirmed that a better understanding of the classification problem difficulty may positively impact the performance of a DCS. For the pool generation method, it was observed that in 126 of 180 experiments (70.0%) adopting the proposed pool generator allowed an improvement of the accuracy of the evaluated DCS methods. In addition, the main results from the proposed framework, in which pool generation and classifier selection are both based on problem difficulty features, are very promising. In 165 of 180 experiments (91.6%), it was also observed that the proposed DCS framework based on the problem difficulty achieved a better classification accuracy when compared to 6 well known DCS methods in the literature.Framework for dynamic classifier selection oriented by the classification difficulty.Pool generation considering a better coverage of the problem complexity space.Classifier selection based on meta-features related to the problem complexity.This paper describes a framework for Dynamic Classifier Selection (DCS) whose novelty resides in its use of features that address the difficulty posed by the classification problem in terms of orienting both pool generation and classifier selection. The classification difficulty is described by meta-features estimated from problem data using complexity measures. Firstly, these features are used to drive the classifier pool generation expecting a better coverage of the problem space, and then, a dynamic classifier selection based on similar features estimates the ability of the classifiers to deal with the test instance. The rationale here is to dynamically select a classifier trained on a subproblem (training subset) having a similar level of difficulty as that observed in the neighborhood of the test instance defined in a validation set. A robust experimental protocol based on 30 datasets, and considering 20 replications, has confirmed that a better understanding of the classification problem difficulty may positively impact the performance of a DCS. For the pool generation method, it was observed that in 126 of 180 experiments (70.0%) adopting the proposed pool generator allowed an improvement of the accuracy of the evaluated DCS methods. In addition, the main results from the proposed framework, in which pool generation and classifier selection are both based on problem difficulty features, are very promising. In 165 of 180 experiments (91.6%), it was also observed that the proposed DCS framework based on the problem difficulty achieved a better classification accuracy when compared to 6 well known DCS methods in the literature."
9,A meta-analytic review of the effect of implementation intentions on physical activity,A. Bélanger-Gravel;G. Godin;S. Amireault,Health Psychology Review,"Implementation intentions are a powerful strategy to promote health-related behaviours, but mixed results are observed regarding physical activity. The primary aim of this study was to systematically and quantitatively review the literature on the effectiveness of implementation intentions on physical activity. The second aim was to identify conditions under which effectiveness is optimal. A literature search was performed in several databases for published and non-published reports. The inverse variance method with random effect model was used for the meta-analysis of results. Effect sizes were reported as standard mean differences. Twenty-six independent studies were included in the systematic review. The overall effect size of implementation intentions was 0.31, 95% confidence intervals (CI) [0.11, 0.51] at post-intervention and 0.24, 95% CI [0.13, 0.35] at follow-up. The duration of follow-up had no significant effect on effect size (F(1, 18) = 0.21, p=0.66. This strategy was more effective among student and clinical samples, and when barrier management was part of implementation intentions. The present meta-analysis provides support for the use of implementation intentions to promote physical activity, even though the effect size is small to medium."
