0,"""""""Supra Crystals"""" Made of Nanocrystals""",user1
1,"""""""Supracrystals"""" Made of Nanocrystals. 2. Growth on HOPG Substrate""",user1
2,A Bayesian Model for the Prediction and Early Diagnosis of Alzheimer's Disease,user3
3,A Randomized Trial Comparing Renal Function in Older Kidney Transplant Patients Following Delayed Versus Immediate Tacrolimus Administration,user2
4,A SON-Based Algorithm for the Optimization of Inter-RAT Handover Parameters,user1
5,A comparative study of particle swarm optimization and its variants for phase stability and equilibrium calculations in multicomponent reactive and non-reactive systems,user1
6,A comparison between different methods for determining grain distribution in coarse channel beds,user1
7,A five-year longitudinal study of the validity of creativity tests.,test
8,A framework for dynamic classifier selection oriented by the classification problem difficulty,user1
9,A meta-analytic review of the effect of implementation intentions on physical activity,user2
10,A method for aquifer identification in petroleum reservoirs: A case study of Puerto Ceiba oilfield,user1
11,A multi‐MHz single‐shot data acquisition scheme with high dynamic range: pump–probe X‐ray experiments at synchrotrons,test
12,A new set of correlations for EHD enhanced condensation heat transfer of tubular systems,user2
13,A probabilistic multidimensional approach to quantify large wood recruitment from hillslopes in mountainous-forested catchments,user1
14,"""A proposal for new bibliographic tools for psychologists: Proposed solutions",user2
15,A public health framework for the regulation of marketing,user2
16,A randomised controlled trial of a community intervention to prevent adolescent tobacco use,test
17,A randomized controlled trial: branched‐chain amino acid levels and glucose metabolism in patients with obesity and sleep apnea,user2
18,A stigmergy-based analysis of city hotspots to discover trends and anomalies in urban transportation usage,user2
19,A year of opportunity in the Middle East,user3
20,Achievement in science and intellectual style.,user2
21,Adsorption of Crude Oil on Na+-Montmorillonite,user3
22,Adsorption of petroleum organic compounds on natural Wyoming montmorillonite,user3
23,Affective modulation of the startle reflex and the Reinforcement Sensitivity Theory of personality: The role of sensitivity to reward,user3
24,Aftershocks and the whole-life seismic performance of granular slopes,user3
25,Alesiellagen.n. and a newly discovered relict lineage of Staphylinini (Coleoptera: Staphylinidae),user1
26,Altered functionality in rhodopsin point mutants associated with retinitis pigmentosa,user1
27,Alternative routes to steel based on hydrogen from cheap hydroelectric power,user1
28,Al–Mn-silicate nanobubbles phase as an intermediate in zeolite formation,user3
29,An Efficient Mechanism for UMTS Multicast Routing,test
30,An adaptive stigmergy-based system for evaluating technological indicator dynamics in the context of smart specialization,test
31,An effective calculation procedure for two-phase equilibria in multireaction systems,user2
32,Analysis of Exonic Mutations Leading to Exon Skipping in Patients with Pyruvate Dehydrogenase E1α Deficiency,user2
33,Analysis of developing maize plastids reveals two mRNA stability classes correlating with RNA polymerase type,user1
34,"""Anisotropy",test
35,"""Antioxidant enzyme activities",user3
36,Application level interface for a cloud monitoring service,user2
37,Aqueous phase homogeneous catalysis using core–shell nanoreactors: Application to rhodium-catalyzed hydroformylation of 1-octene,user2
38,Assessing Alternative Fuels for Helicopter Operation,user1
39,Assessing Refugees' Integration via Spatio-Temporal Similarities of Mobility and Calling Behaviors,user2
40,Assessing age‐related ossification of the petro‐occipital fissure: Laying the foundation for understanding the clinicopathologies of the cranial base,test
41,Assessment of capabilities and limitations of stochastic global optimization methods for modeling mean activity coefficients of ionic liquids,user3
42,Assimilation experiments for the Fishery Observing System in the Adriatic Sea,user3
43,"""Association of androgen receptor gene",test
44,"""Asymmetric Assisted Tandem Catalysis: Hydroamination followed by Asymmetric Friedel–Crafts Reaction from a Single Chiral N",user2
45,Attractive S⋯π and π-π interactions in the pyrazine-2-thiocarboxamide structure: Experimental and computational studies in the context of crystal engineering and microbiological properties,user3
46,Back extensor muscle fatigue at submaximal workloads assessed using frequency banding of the electromyographic signal,user1
47,Balancing Selection Maintains a Form of ERAP2 that Undergoes Nonsense-Mediated Decay and Affects Antigen Presentation,test
48,Behavioural and physiological state dependency of host seeking in theblood-sucking insect Rhodnius prolixusBehavioural and physiological state dependency of host seeking in theblood-sucking insect Rhodnius prolixusBehavioural and physiological state dependency of host seeking in theblood-sucking insect Rhodnius prolixus,user1
49,Beta kernel quantile estimators of heavy-tailed loss distributions,user2
50,Big but Imperceptible Adversarial Perturbations via Semantic Manipulation,user3
51,Bilipschitz equivalence of polynomials,user1
52,Black hole critical behavior with the generalized BSSN formulation,user2
53,Bortezomib/docetaxel combination therapy in patients with anthracycline-pretreated advanced/metastatic breast cancer: a phase I/II dose-escalation study,user3
54,CD4-Independent Infection of Two CD4−/CCR5−/CXCR4+ Pre-T-Cell Lines by Human and Simian Immunodeficiency Viruses,user2
55,CONSCIOUSLY WORKING AT THE UNCONSCIOUS LEVEL: PSYCHODYNAMIC THEORY IN ACTION IN A TRAINING ENVIRONMENT,user3
56,Can vouchers reduce elite capture of local development projects? Experimental evidence from the Solomon Islands,user3
